

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
059.404  000.091  000.091: require('lspconfig.server_configurations.emmet_ls')
059.729  000.111  000.111: require('lspconfig.server_configurations.clangd')
060.083  000.092  000.092: require('lspconfig.server_configurations.taplo')
060.438  000.096  000.096: require('lspconfig.server_configurations.yamlls')
060.756  000.102  000.102: require('lspconfig.server_configurations.pyright')
061.069  000.092  000.092: require('lspconfig.server_configurations.bashls')
061.404  000.124  000.124: require('lspconfig.server_configurations.texlab')
061.850  000.083  000.083: require('mason-lspconfig.ensure_installed')
062.268  000.122  000.122: require('mason-core.result')
062.740  000.173  000.173: require('mason-core.process')
062.752  000.301  000.128: require('mason-core.spawn')
062.863  000.109  000.109: require('mason-core.receipt')
062.975  000.109  000.109: require('mason-core.functional.string')
062.983  000.714  000.195: require('mason-core.installer.context')
063.080  000.096  000.096: require('mason-core.installer.linker')
063.170  000.089  000.089: require('mason-core.async.control')
063.172  001.176  000.155: require('mason-core.installer')
063.313  000.140  000.140: require('mason-core.installer.handle')
063.864  000.138  000.138: require('mason-core.managers.powershell')
063.865  000.250  000.112: require('mason-core.fetch')
063.866  000.319  000.069: require('mason-core.managers.cargo.client')
064.136  000.134  000.134: require('mason-core.managers.std')
064.325  000.087  000.087: require('mason-core.providers')
064.329  000.192  000.105: require('mason-core.managers.github.client')
064.332  000.465  000.139: require('mason-core.managers.github')
064.338  000.930  000.146: require('mason-core.managers.cargo')
064.453  000.114  000.114: require('mason-core.managers.composer')
064.576  000.122  000.122: require('mason-core.managers.gem')
064.667  000.091  000.091: require('mason-core.managers.git')
064.795  000.127  000.127: require('mason-core.managers.go')
064.912  000.116  000.116: require('mason-core.managers.luarocks')
065.027  000.114  000.114: require('mason-core.managers.npm')
065.156  000.129  000.129: require('mason-core.managers.pip3')
065.159  001.844  000.101: require('mason-core.package.version-check')
065.161  003.311  000.151: require('mason-core.package')
065.271  000.106  000.106: require('mason-registry.lua-language-server')
065.347  000.070  000.070: require('mason-registry.pyright')
065.420  000.070  000.070: require('mason-registry.yaml-language-server')
065.505  000.068  000.068: require('mason-registry.bash-language-server')
065.595  000.087  000.087: require('mason-registry.clangd')
065.690  000.091  000.091: require('mason-registry.rust-analyzer')
065.779  000.080  000.080: require('mason-registry.texlab')
065.872  000.081  000.081: require('mason-registry.taplo')
065.966  000.092  000.092: require('mason-registry.typescript-language-server')
066.083  000.071  000.071: require('mason-registry.tailwindcss-language-server')
066.154  000.068  000.068: require('mason-registry.emmet-ls')
066.295  000.139  000.139: require('rust-tools')
066.664  000.148  000.148: require('rust-tools.utils.utils')
066.666  000.370  000.221: require('rust-tools.code_action_group')
066.771  000.104  000.104: require('rust-tools.cached_commands')
066.876  000.104  000.104: require('rust-tools.commands')
067.348  000.106  000.106: require('rust-tools.executors.termopen')
067.457  000.109  000.109: require('rust-tools.executors.quickfix')
067.562  000.104  000.104: require('rust-tools.executors.toggleterm')
067.563  000.419  000.101: require('rust-tools.executors')
067.565  000.688  000.269: require('rust-tools.config')
067.678  000.112  000.112: require('rust-tools.crate_graph')
067.813  000.135  000.135: require('rust-tools.dap')
067.937  000.123  000.123: require('rust-tools.debuggables')
068.053  000.114  000.114: require('rust-tools.expand_macro')
068.150  000.097  000.097: require('rust-tools.external_docs')
068.287  000.136  000.136: require('rust-tools.hover_actions')
068.393  000.106  000.106: require('rust-tools.hover_range')
068.571  000.177  000.177: require('rust-tools.inlay_hints')
068.676  000.102  000.102: require('rust-tools.join_lines')
068.941  000.098  000.098: require('rust-tools.server_status')
068.942  000.266  000.168: require('rust-tools.lsp')
069.045  000.102  000.102: require('rust-tools.move_item')
069.146  000.100  000.100: require('rust-tools.open_cargo_toml')
069.247  000.100  000.100: require('rust-tools.parent_module')
069.363  000.115  000.115: require('rust-tools.runnables')
069.465  000.102  000.102: require('rust-tools.ssr')
069.582  000.116  000.116: require('rust-tools.standalone')
069.683  000.101  000.101: require('rust-tools.workspace_refresh')
069.995  000.113  000.113: require('lspconfig.server_configurations.rust_analyzer')
070.789  000.129  000.129: require('dap.utils')
070.799  000.570  000.441: require('dap')
070.987  060.903  011.678: require('mfaris.lsp.lspconfig')
071.707  000.160  000.160: require('packer.util')
071.730  000.643  000.482: require('packer')
072.320  000.181  000.181: require('packer.log')
072.321  000.324  000.143: require('packer.async')
072.595  000.110  000.110: require('packer.result')
072.597  000.275  000.165: require('packer.jobs')
072.599  000.821  000.222: require('packer.plugin_utils')
072.772  000.166  000.166: require('packer.snapshot')
072.886  001.898  000.268: require('mfaris.plugins')
072.961  000.010  000.010: require('vim.keymap')
073.281  000.067  000.067: require('Comment.config')
073.630  000.142  000.142: require('Comment.ft')
073.633  000.350  000.208: require('Comment.utils')
073.755  000.122  000.122: require('Comment.opfunc')
073.840  000.083  000.083: require('Comment.extra')
073.842  000.732  000.109: require('Comment.api')
073.864  000.977  000.235: require('mfaris.keymaps')
074.200  000.336  000.336: require('mfaris.options')
075.412  000.144  000.144: require('onedark')
076.355  000.131  000.131: require('onedark.palette')
076.378  000.250  000.119: require('onedark.colors')
076.490  000.109  000.109: require('onedark.util')
076.588  000.941  000.582: require('onedark.highlights')
077.624  000.106  000.106: require('onedark.terminal')
077.630  002.940  001.748: sourcing /Users/mohdfaris/.local/share/nvim/site/pack/packer/start/onedark.nvim/colors/onedark.lua
078.155  000.165  000.165: require('colorizer/nvim')
078.319  000.011  000.011: require('ffi')
078.368  000.212  000.200: require('colorizer/trie')
078.453  000.819  000.443: require('colorizer')
078.928  004.727  000.967: require('mfaris.colourscheme')
079.330  000.304  000.304: require('alpha')
079.414  000.083  000.083: require('alpha.themes.dashboard')
079.433  000.455  000.068: require('mfaris.plugin-config.alpha')
079.513  000.079  000.079: require('mfaris.plugin-config.autocommands')
079.775  000.039  000.039: require('bufferline.lazy')
079.823  000.045  000.045: require('bufferline.constants')
079.958  000.134  000.134: require('bufferline.commands')
079.963  000.389  000.171: require('bufferline')
080.105  000.135  000.135: require('bufferline.utils')
080.410  000.298  000.298: require('bufferline.config')
080.711  000.277  000.277: require('bufferline.groups')
080.811  000.089  000.089: require('bufferline.colors')
081.124  000.227  000.227: require('bufferline.highlights')
081.981  000.113  000.113: require('bufferline.hover')
082.715  000.705  000.705: require('bufferline.ui')
082.777  003.264  001.030: require('mfaris.plugin-config.bufferline')
082.980  000.122  000.122: require('Comment')
083.092  000.314  000.191: require('mfaris.plugin-config.comment')
083.566  000.100  000.100: require('gitsigns.async')
083.629  000.061  000.061: require('gitsigns.status')
083.971  000.100  000.100: require('gitsigns.debug')
084.083  000.111  000.111: require('gitsigns.util')
084.232  000.068  000.068: require('gitsigns.uv')
084.234  000.150  000.082: require('gitsigns.subprocess')
084.671  000.048  000.048: require('gitsigns.message')
084.675  000.228  000.180: require('gitsigns.config')
084.723  000.047  000.047: require('gitsigns.signs.base')
084.724  000.331  000.055: require('gitsigns.signs')
084.726  000.492  000.161: require('gitsigns.hunks')
084.752  001.122  000.269: require('gitsigns.git')
085.035  000.070  000.070: require('gitsigns.cache')
085.098  000.062  000.062: require('gitsigns.debounce')
085.150  000.050  000.050: require('gitsigns.diff')
085.155  000.403  000.220: require('gitsigns.manager')
085.269  000.113  000.113: require('gitsigns.highlight')
085.273  002.113  000.314: require('gitsigns')
085.702  000.104  000.104: require('gitsigns.signs.vimfn')
086.251  003.159  000.943: require('mfaris.plugin-config.gitsigns')
086.300  000.048  000.048: require('mfaris.plugin-config.illuminate')
092.222  005.889  005.889: require('impatient')
092.310  000.087  000.087: require('impatient.profile')
092.314  006.013  000.037: require('mfaris.plugin-config.impatient')
092.487  000.046  000.046: require('indent_blankline/utils')
092.489  000.103  000.057: require('indent_blankline')
092.524  000.209  000.105: require('mfaris.plugin-config.indentline')
093.031  000.076  000.076: require('lualine_require')
093.189  000.312  000.236: require('lualine')
093.238  000.047  000.047: require('lualine.themes.darkplus_dark')
095.096  002.570  002.211: require('mfaris.plugin-config.lualine')
095.344  000.246  000.246: require('mfaris.plugin-config.luasnip')
095.529  000.056  000.056: require('project_nvim.config')
095.641  000.064  000.064: require('project_nvim.utils.path')
095.644  000.113  000.049: require('project_nvim.utils.history')
095.645  000.219  000.050: require('project_nvim')
